﻿Daily Discharge (m3/s) (PARAM = 1),,,,
 ID,PARAM,Date,Value,SYM
08NK028,1,1984-04-17,0.848,A
08NK028,1,1984-04-18,0.835,E
08NK028,1,1984-04-19,0.805,E
08NK028,1,1984-04-20,0.776,E
08NK028,1,1984-04-21,0.746,E
08NK028,1,1984-04-22,0.717,E
08NK028,1,1984-04-23,0.688,E
08NK028,1,1984-04-24,0.658,E
08NK028,1,1984-04-25,0.629,E
08NK028,1,1984-04-26,0.599,E
08NK028,1,1984-04-27,0.57,A
08NK028,1,1984-04-28,0.563,E
08NK028,1,1984-04-29,0.555,A
08NK028,1,1984-04-30,0.505,E
08NK028,1,1984-05-01,0.455,A
08NK028,1,1984-05-02,0.455,E
08NK028,1,1984-05-03,0.455,A
08NK028,1,1984-05-04,0.448,E
08NK028,1,1984-05-05,0.44,A
08NK028,1,1984-05-06,0.435,E
08NK028,1,1984-05-07,0.43,A
08NK028,1,1984-05-08,0.554,E
08NK028,1,1984-05-09,0.678,A
08NK028,1,1984-05-10,0.629,E
08NK028,1,1984-05-11,0.58,A
08NK028,1,1984-05-12,0.635,E
08NK028,1,1984-05-13,0.69,A
08NK028,1,1984-05-14,1.34,A
08NK028,1,1984-05-15,2.62,A
08NK028,1,1984-05-16,3.02,A
08NK028,1,1984-05-17,2.24,A
08NK028,1,1984-05-18,2,A
08NK028,1,1984-05-19,2.29,A
08NK028,1,1984-05-20,3.7,A
08NK028,1,1984-05-21,2.65,A
08NK028,1,1984-05-22,2.19,A
08NK028,1,1984-05-23,2.39,A
08NK028,1,1984-05-24,2.14,A
08NK028,1,1984-05-25,2.02,A
08NK028,1,1984-05-26,1.88,A
08NK028,1,1984-05-27,1.88,A
08NK028,1,1984-05-28,1.95,A
08NK028,1,1984-05-29,2.67,A
08NK028,1,1984-05-30,4.37,A
08NK028,1,1984-05-31,4.56,A
08NK028,1,1984-06-01,2.91,A
08NK028,1,1984-06-02,2.62,A
08NK028,1,1984-06-03,2.52,A
08NK028,1,1984-06-04,2.52,A
