Date,CROWSNEST RIVER AT FRANK,ELK RIVER AT FERNIE,HOSMER CREEK ABOVE DIVERSIONS
1981-03-31,1.94,19.8,0.1
1981-04-01,1.92,20.6,0.1
1981-04-02,1.9,19.9,0.093
1981-04-03,1.9,19.5,0.086
1981-04-04,1.88,19.0,0.086
1981-04-05,1.87,19.3,0.086
1981-04-06,1.91,19.4,0.079
1981-04-07,1.94,18.3,0.072
1981-04-08,1.93,18.4,0.079
1981-04-09,1.97,18.6,0.072
1981-04-10,1.93,17.9,0.066
1981-04-11,1.92,17.5,0.059
1981-04-12,1.97,18.0,0.059
1981-04-13,1.91,17.2,0.059
1981-04-14,1.91,16.7,0.072
1981-04-15,1.99,17.2,0.086
1981-04-16,2.25,19.1,0.138
1981-04-17,2.5,20.7,0.19
1981-04-18,2.79,22.1,0.216
1981-04-19,3.17,24.9,0.242
1981-04-20,3.64,28.6,0.292
1981-04-21,4.56,37.9,0.339
1981-04-22,4.66,41.1,0.53
1981-04-23,6.04,45.9,0.719
1981-04-24,8.87,72.5,0.566
1981-04-25,8.07,78.7,0.415
1981-04-26,7.06,70.5,0.459
1981-04-27,6.73,66.0,0.502
1981-04-28,7.16,67.4,0.547
1981-04-29,7.43,69.1,0.589
1981-04-30,8.28,73.3,1.11
1981-05-01,12.2,110.0,0.799
1981-05-02,13.7,142.0,0.825
1981-05-03,12.4,124.0,0.85
1981-05-04,11.7,108.0,0.85
1981-05-05,12.5,104.0,0.85
1981-05-06,11.3,95.1,0.719
1981-05-07,10.5,88.9,0.589
1981-05-08,11.1,87.8,0.535
1981-05-09,11.9,86.9,0.48
1981-05-10,12.0,88.3,0.425
1981-05-11,11.5,89.5,0.371
1981-05-12,10.8,85.5,0.365
1981-05-13,10.5,83.5,0.36
1981-05-14,11.0,86.9,0.355
1981-05-22,36.3,237.0,0.771
1981-05-29,30.0,300.0,0.641
1981-07-01,13.9,178.0,0.21
1981-07-02,13.2,177.0,0.19
1981-07-03,12.4,163.0,0.161
1981-07-04,12.3,165.0,0.147
1981-07-05,12.3,175.0,0.133
1981-07-06,12.3,174.0,0.142
1981-07-07,11.7,161.0,0.152
1981-07-08,10.6,142.0,0.133
1981-07-09,9.49,122.0,0.113
1981-07-10,9.19,113.0,0.113
1981-07-11,8.87,104.0,0.113
1981-07-12,8.62,97.1,0.113
1981-07-13,8.76,99.4,0.113
1981-07-14,8.69,104.0,0.106
1981-07-15,8.36,101.0,0.1
1981-07-16,8.09,95.1,0.093
1981-07-17,7.89,90.3,0.086
1981-07-18,7.77,88.1,0.086
1981-07-19,7.68,87.8,0.086
1981-07-20,7.59,88.9,0.079
1981-07-21,7.43,89.2,0.072
1981-07-22,7.37,90.0,0.072
1981-07-23,7.18,88.6,0.072
1981-07-24,7.06,88.6,0.066
1981-07-25,7.31,91.7,0.059
1981-07-26,7.28,95.7,0.059
1981-07-27,6.88,89.2,0.059
1981-07-28,6.92,87.8,0.052
1981-07-29,6.72,86.4,0.045
1981-07-30,6.39,83.0,0.045
1981-07-31,6.06,78.2,0.045
1981-08-01,5.77,74.5,0.045
1981-08-02,5.51,70.2,0.045
1981-08-03,5.45,66.5,0.045
1981-08-04,5.27,64.8,0.045
1981-08-05,5.01,62.6,0.045
1981-08-06,4.82,59.7,0.045
1981-08-07,4.7,57.8,0.045
1981-08-08,4.66,57.2,0.045
1981-08-09,4.61,57.2,0.045
1981-08-10,4.48,56.1,0.041
1981-08-11,4.31,54.4,0.036
1981-08-12,4.22,53.0,0.036
1981-08-13,4.13,54.4,0.036
1981-08-14,4.91,56.4,0.036
1981-08-15,4.94,56.9,0.036
1981-08-16,4.41,56.4,0.036
1981-08-17,4.22,53.8,0.036
1981-08-18,4.09,54.1,0.032
1981-08-19,4.07,51.5,0.027
1981-08-20,3.93,49.3,0.027
1981-08-21,3.78,48.1,0.027
1981-08-22,3.71,46.7,0.032
1981-08-23,3.52,45.0,0.036
1981-08-24,3.36,42.5,0.036
1981-08-25,3.28,40.8,0.036
1981-08-26,3.32,40.8,0.036
1981-08-27,3.45,39.6,0.036
1981-08-28,3.23,39.4,0.032
1981-08-29,3.14,38.8,0.027
1981-08-30,3.1,37.9,0.027
1981-08-31,2.99,37.4,0.031
1981-09-01,3.0,37.4,0.027
1981-09-02,2.98,36.8,0.027
1981-09-03,2.82,35.4,0.027
1981-09-04,2.77,34.3,0.027
1981-09-05,2.76,33.7,0.027
1981-09-06,2.68,32.8,0.027
1981-09-07,2.67,31.7,0.027
1981-09-08,2.58,30.6,0.027
1981-09-09,2.45,30.0,0.027
1981-09-10,2.39,29.2,0.027
1981-09-11,2.35,29.2,0.027
1981-09-12,2.27,29.2,0.023
1981-09-13,2.26,28.6,0.018
1981-09-14,2.43,28.3,0.018
1981-09-15,2.31,27.8,0.018
1981-09-16,2.27,27.1,0.018
1981-09-17,2.23,26.7,0.018
1981-09-18,2.16,26.4,0.018
1981-09-19,2.2,26.2,0.018
1981-09-20,2.19,26.4,0.018
1981-09-21,2.14,27.1,0.018
1981-09-22,2.12,27.1,0.018
1981-09-23,2.14,26.5,0.018
1981-09-24,2.08,25.9,0.018
1981-09-25,2.09,25.2,0.018
1981-09-26,2.15,25.4,0.039
1981-09-27,2.18,25.0,0.059
1981-09-28,2.34,25.1,0.052
1981-09-29,2.35,25.4,0.045
1981-09-30,2.21,24.1,0.062
1981-10-01,2.13,23.1,0.079
1981-10-02,2.52,27.6,0.062
1981-10-03,2.47,28.1,0.045
1981-10-04,2.34,26.4,0.045
1981-10-05,2.25,25.1,0.045
1981-10-06,2.23,24.3,0.045
1981-10-07,2.09,23.6,0.045
1981-10-08,2.07,23.0,0.052
1981-10-09,2.09,23.8,0.059
1981-10-10,2.09,23.3,0.059
1981-10-11,2.07,22.6,0.059
1981-10-12,2.1,22.2,0.052
1981-10-13,2.03,22.0,0.045
1981-10-14,2.0,21.8,0.045
1981-10-15,2.0,21.4,0.045
1981-10-16,1.97,21.1,0.045
1981-10-17,1.94,20.7,0.045
1981-10-18,1.98,20.5,0.045
1981-10-19,1.91,20.4,0.045
1981-10-20,1.84,19.9,0.045
1981-10-21,1.81,19.5,0.045
1981-10-22,1.84,18.9,0.045
1981-10-23,1.87,18.6,0.045
1981-10-24,1.86,18.6,0.045
1981-10-25,1.78,18.8,0.045
1981-10-26,1.84,18.8,0.045
1981-10-27,1.94,19.3,0.045
1981-10-28,1.9,19.2,0.045
1981-10-29,1.85,19.2,0.045
1981-10-30,1.83,18.8,0.045
1981-10-31,1.85,18.4,0.045
1981-11-01,1.76,18.3,0.045
1981-11-02,1.71,18.3,0.045
1981-11-03,1.68,18.3,0.045
1981-11-04,1.65,18.3,0.045
1981-11-05,1.64,18.0,0.045
1981-11-06,1.61,17.5,0.045
1981-11-07,1.61,17.6,0.045
1981-11-08,1.59,17.4,0.045
1981-11-09,1.61,16.9,0.045
1981-11-10,1.56,16.6,0.04
1981-11-11,1.56,16.5,0.045
1981-11-12,1.55,16.8,0.045
1981-11-13,1.57,17.0,0.045
