Date,CROWSNEST RIVER AT FRANK,ELK RIVER AT FERNIE,HOSMER CREEK ABOVE DIVERSIONS,MICHEL CREEK ABOVE CORBIN CREEK
1984-04-17,3.18,30.8,0.378,0.848
1984-04-18,3.49,34.4,0.312,0.835
1984-04-19,3.63,34.8,0.312,0.805
1984-04-20,3.64,35.1,0.312,0.776
1984-04-21,3.48,35.8,0.306,0.746
1984-04-22,3.59,39.3,0.301,0.717
1984-04-23,3.39,39.7,0.234,0.688
1984-04-24,3.13,37.9,0.168,0.658
1984-04-25,2.9,35.6,0.158,0.629
1984-04-26,2.84,33.6,0.147,0.599
1984-04-27,2.64,31.1,0.134,0.57
1984-04-28,2.54,29.0,0.121,0.563
1984-04-29,2.46,27.8,0.113,0.555
1984-04-30,2.43,26.5,0.104,0.505
1984-05-01,2.39,25.9,0.113,0.455
1984-05-02,2.46,27.1,0.121,0.455
1984-05-03,2.49,26.4,0.113,0.455
1984-05-04,2.38,25.0,0.104,0.448
1984-05-05,2.43,25.3,0.114,0.44
1984-05-06,2.45,25.7,0.124,0.435
1984-05-07,2.46,25.6,0.329,0.43
1984-05-08,2.63,25.9,0.147,0.554
1984-05-09,3.82,33.6,0.452,0.678
1984-05-10,3.57,33.5,0.371,0.629
1984-05-11,3.44,31.8,0.333,0.58
1984-05-12,3.47,31.5,0.295,0.635
1984-05-13,3.63,31.6,0.463,0.69
1984-05-14,4.59,37.1,0.63,1.34
1984-05-15,6.65,54.9,0.63,2.62
1984-05-16,9.97,77.8,0.63,3.02
1984-05-17,8.61,79.9,0.739,2.24
1984-05-18,7.59,76.2,0.849,2.0
1984-05-19,7.44,78.9,0.739,2.29
1984-05-20,8.37,94.5,0.63,3.7
1984-05-21,7.9,91.1,0.62,2.65
1984-05-22,7.33,81.7,0.611,2.19
1984-05-23,7.3,79.0,0.529,2.39
1984-05-24,6.99,77.9,0.448,2.14
1984-05-25,6.71,74.6,0.41,2.02
1984-05-26,6.63,70.8,0.371,1.88
1984-05-27,6.46,68.2,0.41,1.88
1984-05-28,6.4,68.5,0.448,1.95
1984-05-29,7.12,80.0,0.509,2.67
1984-05-30,10.1,127.0,0.57,4.37
1984-05-31,13.2,187.0,0.63,4.56
1984-06-01,11.5,155.0,0.468,2.91
1984-06-02,9.84,125.0,0.306,2.62
1984-06-03,9.03,114.0,0.332,2.52
1984-06-04,8.73,110.0,0.358,2.52
1984-06-05,8.67,110.0,0.352,2.8
1984-06-06,8.7,113.0,0.345,2.8
1984-06-07,8.86,124.0,0.332,2.91
1984-06-08,9.83,137.0,0.319,3.46
1984-06-09,10.5,148.0,0.313,3.16
1984-06-10,10.2,139.0,0.306,2.7
1984-06-11,9.97,134.0,0.313,2.57
1984-06-12,10.2,136.0,0.319,2.65
1984-06-13,10.6,149.0,0.325,2.92
